Date,Open,High,Low,Close
2022/11/16,1253.22,1268.67,1187.06,1216.17
2022/11/17,1216.16,1228.22,1181.05,1200.43
2022/11/18,1200.42,1234,1199.18,1212.58
2022/11/19,1212.58,1235,1197.67,1217.67
2022/11/20,1217.67,1227.07,1132.65,1142.21
2022/11/21,1142.21,1146.99,1079.76,1107.34
2022/11/22,1107.34,1146.13,1075,1139.6
2022/11/23,1139.59,1190,1127.75,1184.52
2022/11/24,1184.52,1217.71,1180.6,1203.73
2022/11/25,1203.72,1207.77,1171.2,1199.3
2022/11/26,1199.29,1235.66,1196.2,1205.6
2022/11/27,1205.61,1223.33,1188.65,1193.88
2022/11/28,1193.88,1199.25,1151.02,1167.77
2022/11/29,1167.77,1228.37,1158.27,1216.49
2022/11/30,1216.49,1309.77,1212.5,1294.46
2022/12/1,1294.46,1299.9,1262.77,1276.41
2022/12/2,1276.4,1297.18,1265.24,1295.59
2022/12/3,1295.58,1309,1236.26,1240.51
2022/12/4,1240.5,1287.19,1240.1,1279.41
2022/12/5,1279.4,1305.11,1246.61,1259.41
2022/12/6,1259.41,1274.76,1241.56,1271.32
2022/12/7,1271.31,1278.69,1218.01,1231.18
2022/12/8,1231.18,1292.58,1222.01,1280.18
2022/12/9,1280.18,1296.64,1250,1263.1
2022/12/10,1263.11,1283.61,1259.6,1266.35
2022/12/11,1266.35,1284.75,1255.85,1263.01
2022/12/12,1263,1278.9,1240.03,1275.4
2022/12/13,1275.41,1349,1255.1,1320.69
2022/12/14,1320.69,1352.72,1301,1307.44
2022/12/15,1307.45,1311.14,1259.27,1266.54
2022/12/16,1266.53,1280.06,1155.32,1166.83
2022/12/17,1166.82,1190.03,1161.92,1187.16
2022/12/18,1187.16,1199.54,1170.32,1183.06
2022/12/19,1183.06,1195,1150.51,1167.82
2022/12/20,1167.82,1230.47,1163.12,1216.94
2022/12/21,1216.95,1223.39,1203.02,1213.78
